bank_name,card_name,annual_fee,renewal_fee,is_lifetime_free,best_use_case,other_cashback,lounge_access,fuel_benefits,travel_benefits,income_requirement,joining_offer,fee_waiver_condition,official_website,notes
ICICI,Platinum Chip,0,0,Yes,basic usage,1% cashback equivalent,No,1% fuel surcharge waiver,No,"?15,000/month",-,Lifetime Free,https://www.icicibank.com/credit-card/platinum-chip,Good starter card with zero fees
ICICI,CORAL Credit Card,500,500,No,shopping & lounge,1% cashback,Yes (2 visits/quarter),1% surcharge waiver,Domestic lounge access,"?25,000/month",Welcome points,"Spend ?1,50,000/year to waive fee",https://www.icicibank.com/credit-card/coral,Very popular mid-range card
ICICI,CORAL Contactless,500,500,No,shopping,1% cashback,Yes,1% fuel waiver,No,"?25,000/month",-,"Spend ?1,50,000/year",https://www.icicibank.com/credit-card/coral,Same benefits with contactless
ICICI,Rubyx Credit Card,3000,3000,No,premium shopping & lounge,2% cashback,Yes (2 domestic + 2 international),1% waiver,International lounge,"?50,000/month",Welcome vouchers,"Spend ?3,00,000/year to waive fee",https://www.icicibank.com/credit-card/rubyx,Premium lifestyle card
ICICI,Sapphiro Credit Card,6500,3500,No,premium travel,2% cashback,Yes (Domestic & International),1% waiver,Premium international lounge,"?80,000/month",Premium vouchers,"Spend ?6,00,000/year to waive fee",https://www.icicibank.com/credit-card/sapphiro,High-end travel/lifestyle card
ICICI,MakeMyTrip ICICI Platinum,500,500,No,travel,2% travel cashback,No,1% waiver,MMT travel discounts,"?25,000/month",MMT vouchers,"Spend ?50,000/year",https://www.icicibank.com/credit-card/mmt,Best for frequent MMT users
ICICI,MakeMyTrip ICICI Signature,2500,2500,No,travel,3% travel cashback,Yes,1% waiver,Airport lounge,"?50,000/month",MMT vouchers,"Spend ?2,50,000/year",https://www.icicibank.com/credit-card/mmt,Premium MMT travel card
ICICI,HPCL Super Saver Card,500,500,No,fuel,4% fuel cashback,No,1% fuel surcharge waiver,No,"?20,000/month",Fuel vouchers,"Spend ?50,000/year",https://www.icicibank.com/credit-card/hpcl,Best for heavy fuel users
ICICI,Manchester United Platinum,499,499,No,shopping/sports,1% cashback,No,1% waiver,No,"?20,000/month",MUFC merchandise,"Spend ?50,000/year",https://www.icicibank.com/credit-card/manchester-united,For Manchester United fans
ICICI,Manchester United Signature,2499,2499,No,premium sports benefits,2% cashback,Yes,1% waiver,No,"?50,000/month",MUFC vouchers,"Spend ?2,50,000/year",https://www.icicibank.com/credit-card/manchester-united,Premium MUFC fan card
ICICI,ICICI Bank Expression Card,500,500,No,custom design,1% cashback,No,1% waiver,No,"?20,000/month",-,"Spend ?50,000/year",https://www.icicibank.com/credit-card/expression,Custom design credit card
ICICI,British Airways Premium,3500,3500,No,international travel,Travel points,Yes,1% waiver,International lounge,"?1,00,000/month",BA Miles,"Spend ?4,00,000/year",https://www.icicibank.com,For international flyers
ICICI,ICICI Bank Emeralde,12000,12000,No,luxury travel,Premium cashback,Unlimited,1% waiver,Unlimited lounge,"?2,00,000/month",Luxury gift vouchers,Fee waiver on high spends,https://www.icicibank.com/credit-card/emerald,Super-premium lifestyle card
ICICI,Ferrari Platinum Card,499,499,No,fashion/lifestyle,2% cashback,No,1% waiver,No,"?25,000/month",Ferrari merchandise,"Spend ?50,000/year",https://www.icicibank.com,Good for Ferrari fans
ICICI,Ferrari Signature Card,2999,2999,No,premium lifestyle,3% cashback,Yes,1% waiver,No,"?60,000/month",Ferrari vouchers,"Spend ?3,00,000/year",https://www.icicibank.com,Premium Ferrari card
SBI,SBI SimplyCLICK,499,499,No,online shopping,5X rewards on Amazon/Myntra/BookMyShow,No,1% fuel surcharge waiver,No,"?20,000/month",Welcome Amazon voucher,"Spend ?1,00,000/year to waive fee",https://www.sbicard.com/en/personal/credit-cards/sbi-simplyclick-credit-card,Best budget online shopping card
SBI,SBI SimplySAVE,499,499,No,everyday spends,10X rewards on dining/grocery,No,1% fuel waiver,No,"?20,000/month",Welcome gift,"Spend ?90,000/year",https://www.sbicard.com/en/personal/credit-cards/sbi-simplysave-credit-card,Good for groceries & dining
SBI,SBI Cashback Card,999,999,No,cashback,5% online cashback,No,1% waiver,No,"?25,000/month",-,"Spend ?2,00,000/year",https://www.sbicard.com,Strong for online purchases
SBI,SBI Card ELITE,4999,4999,No,premium lifestyle,2% rewards,Yes (Domestic & Int'l),1% waiver,Yes,"?1,00,000/month",Welcome vouchers,"Spend ?10,00,000/year",https://www.sbicard.com/en/personal/credit-cards/sbi-elite-credit-card,Premium lifestyle benefits
SBI,SBI PRIME,2999,2999,No,premium shopping,5% on utility bills/dining/grocery,Yes,1% waiver,Domestic lounge,"?60,000/month",Welcome vouchers,"Spend ?3,00,000/year",https://www.sbicard.com/en/personal/credit-cards/sbi-prime-credit-card,Great for high spenders
SBI,SBI IRCTC Platinum,500,300,No,rail travel,10% value back on IRCTC,No,1% waiver,Yes,"?15,000/month",IRCTC vouchers,"Spend ?50,000/year",https://www.sbicard.com/en/personal/credit-cards/irctc-sbi-credit-card,Best for train travelers
SBI,SBI IRCTC Premier,1500,1500,No,rail travel,Up to 5% IRCTC rewards,Yes,1% waiver,Yes,"?25,000/month",Rail travel offers,"Spend ?1,50,000/year",https://www.sbicard.com,Better IRCTC benefits
SBI,SBI BPCL Card,499,499,No,fuel,4.25% value back on BPCL,No,BPCL surcharge waiver,No,"?20,000/month",Fuel vouchers,"Spend ?50,000/year",https://www.sbicard.com,Great for fuel spenders
SBI,SBI BPCL Octane,1499,1499,No,premium fuel,7.25% value back,No,Full surcharge waiver,No,"?50,000/month",Fuel bonus,"Spend ?2,00,000/year",https://www.sbicard.com,Premium BPCL fuel card
SBI,SBI Air India Signature,4999,4999,No,air travel,AirMiles rewards,Yes (International),1% waiver,International lounge,"?80,000/month",AI Miles,"Spend ?5,00,000/year",https://www.sbicard.com,For Air India travelers
SBI,SBI Air India Platinum,1499,1499,No,air travel,Travel points,No,1% waiver,Domestic travel,"?40,000/month",AI Miles,"Spend ?2,00,000/year",https://www.sbicard.com,Cheapest Air India card
SBI,SBI Card PULSE,1499,1499,No,health & fitness,2% rewards,Yes (Domestic),1% waiver,No,"?30,000/month",Fitness gifts,"Spend ?2,00,000/year",https://www.sbicard.com,Health & fitness oriented card
SBI,SBI Shaurya Select,499,499,No,govt employees,2% rewards,No,1% waiver,No,"?20,000/month",Welcome points,"Spend ?1,00,000/year",https://www.sbicard.com,For defense & govt employees
SBI,SBI Unnati Card,0,0,Yes,beginners,1% cashback,No,1% waiver,No,"?10,000 FD required",-,Lifetime Free,https://www.sbicard.com,Best secured starter credit card
AXIS,ACE Credit Card,499,499,No,cashback,2% flat cashback,No,1% fuel surcharge waiver,No,"?20,000/month",Google Pay offers,"Spend ?10,000 first 45 days",https://www.axisbank.com/retail/cards/credit-card/ace-credit-card,Best overall cashback card in India
AXIS,Neo Credit Card,250,250,No,shopping,5% on Zomato/Myntra/BookMyShow,No,1% waiver,No,"?15,000/month",Welcome vouchers,"Spend ?25,000/6 months",https://www.axisbank.com/retail/cards/credit-card/neo-credit-card,Perfect for online shoppers
AXIS,My Zone Credit Card,500,500,No,entertainment,40% off on Swiggy,No,1% waiver,No,"?20,000/month",Free SonyLiv,"Spend ?30,000/year",https://www.axisbank.com/retail/cards/credit-card/my-zone-credit-card,Great for entertainment
AXIS,Axis Flipkart Credit Card,500,500,No,flipkart shopping,5% on Flipkart/2% online,No,1% waiver,No,"?20,000/month",Flipkart vouchers,"Spend ?2,00,000/year",https://www.axisbank.com/retail/cards/credit-card/flipkart-axis-bank-credit-card,Best for Flipkart users
AXIS,Axis Airtel Credit Card,500,500,No,airtel bills,25% cashback on Airtel,No,1% waiver,No,"?20,000/month",Airtel offer,"Spend ?30,000/year",https://www.axisbank.com,Great for Airtel users
AXIS,Atlas Credit Card,5000,5000,No,travel,5% on travel spends,Yes,1% waiver,Domestic & International,"?60,000/month",Travel points,"Spend ?7,50,000/year",https://www.axisbank.com,Premium travel card
AXIS,Magnum Credit Card,1000,1000,No,lifestyle,2% cashback,Yes,1% waiver,Domestic lounge,"?40,000/month",Welcome gift,"Spend ?2,00,000/year",https://www.axisbank.com,Mid-range lifestyle card
AXIS,Privilege Credit Card,1500,1500,No,lifestyle,2% rewards,Yes,1% waiver,Domestic lounge,"?50,000/month",Welcome offers,"Spend ?2,50,000/year",https://www.axisbank.com,Good travel + lifestyle combo
AXIS,Select Credit Card,3000,3000,No,premium lifestyle,2% rewards,Yes,1% waiver,Domestic + limited Intl,"?80,000/month",Welcome vouchers,"Spend ?6,00,000/year",https://www.axisbank.com,High-end lifestyle card
AXIS,Reserve Credit Card,30000,30000,No,luxury premium,3% premium rewards,Unlimited,1% waiver,Unlimited lounge,"?3,00,000/month",Luxury package,Invitation / high-income,https://www.axisbank.com,Ultra-premium Axis card
AXIS,Vistara Infinite Credit Card,10000,10000,No,air travel,AirMiles rewards,Yes,1% waiver,Vistara lounge,"?1,00,000/month",Free Business Class ticket,"Spend ?7,50,000/year",https://www.axisbank.com,Best for Vistara frequent flyers
AXIS,Vistara Signature Credit Card,3000,3000,No,air travel,AirMiles rewards,Yes,1% waiver,Domestic lounge,"?50,000/month",Free Premium Economy ticket,"Spend ?1,50,000/year",https://www.axisbank.com,Great for air travel
AXIS,Freecharge Plus Credit Card,0,0,Yes,payments,2% cashback,No,1% waiver,No,"?10,000/month",Freecharge rewards,Lifetime Free,https://www.axisbank.com,Best LTF Axis card
AXIS,Burgundy Private Credit Card,0,0,Yes,ultra-premium,Premium rewards,Unlimited,1% waiver,Unlimited travel benefits,High Net Worth,Premium welcome pack,Invite-only,https://www.axisbank.com,For HNI customers only
IDFC FIRST,IDFC FIRST Millennia,0,0,Yes,shopping,1.5% to 5% cashback,Yes (Limited),1% surcharge waiver,Domestic lounge,"?20,000/month",Welcome vouchers,Lifetime Free,https://www.idfcfirstbank.com/credit-card/millennia,Best beginner LTF card
IDFC FIRST,IDFC FIRST Classic,0,0,Yes,everyday usage,0.75% to 2.5% cashback,No,1% fuel surcharge waiver,No,"?15,000/month",-,Lifetime Free,https://www.idfcfirstbank.com/credit-card/classic,Simple no-fee everyday card
IDFC FIRST,IDFC FIRST Select,0,0,Yes,shopping/travel,1.5% to 3% cashback,Yes,1% fuel waiver,Limited lounge,"?25,000/month",Welcome gifts,Lifetime Free,https://www.idfcfirstbank.com/credit-card/select,Great all-rounder card
IDFC FIRST,IDFC FIRST Wealth,0,0,Yes,premium lifestyle,2% to 6% cashback,Yes (Domestic & International),1% waiver,International lounge,"?75,000/month",Premium vouchers,Lifetime Free,https://www.idfcfirstbank.com/credit-card/wealth,Best premium LTF card in India
IDFC FIRST,IDFC FIRST Wow! (Secured),0,0,Yes,beginners (secured),0.75% to 2.5% cashback,No,1% waiver,No,Fixed deposit required,-,Lifetime Free,https://www.idfcfirstbank.com/credit-card/wow,Best secured credit-builder card
IDFC FIRST,IDFC FIRST HPCL First Power+,500,500,No,fuel,5% fuel cashback at HPCL,No,HPCL surcharge waiver,No,"?20,000/month",Fuel rewards,"Spend ?50,000/year",https://www.idfcfirstbank.com,Fuel-focused card
IDFC FIRST,IDFC FIRST Power,0,0,Yes,fuel,4% HPCL cashback,No,Surcharge waiver,No,"?15,000/month",Fuel vouchers,Lifetime Free,https://www.idfcfirstbank.com,LTF fuel card
Kotak,Kotak 811 #DreamDifferent Card,0,0,Yes,beginners,1% cashback,No,1% surcharge waiver,No,Kotak 811 account needed,-,Lifetime Free,https://www.kotak.com,Best LTF starter credit card
Kotak,Kotak Essentia,499,499,No,grocery,10% cashback on grocery/departmental stores,No,1% waiver,No,"?20,000/month",-,"Spend ?1,00,000/year",https://www.kotak.com,Great for household essentials
Kotak,Kotak Royale,999,999,No,lifestyle,2% rewards,Yes,1% waiver,Domestic lounge,"?35,000/month",Welcome vouchers,"Spend ?2,00,000/year",https://www.kotak.com,Good mid-range lifestyle card
Kotak,Kotak League Platinum,499,499,No,everyday spends,1% to 2.5% cashback,No,1% waiver,No,"?20,000/month",Welcome gifts,"Spend ?50,000/year",https://www.kotak.com,Versatile card for daily spends
Kotak,Kotak Delight Platinum,1999,1999,No,entertainment,10% cashback on dining/movies,No,1% waiver,No,"?50,000/month",-,"Spend ?1,50,000/year",https://www.kotak.com,Great for movies and dining
Kotak,Kotak Privy League Signature,2500,2500,No,premium lifestyle,2% rewards,Yes,1% waiver,Domestic lounge,"?70,000/month",Welcome vouchers,"Spend ?4,00,000/year",https://www.kotak.com,Premium lifestyle benefits
Kotak,Kotak Privy League Black,5000,5000,No,super-premium,High rewards,Yes (International),1% waiver,International lounge,"?1,00,000/month",Premium welcome gifts,High spend waiver,https://www.kotak.com,High-end premium card
Kotak,Kotak Mojo Platinum,1000,1000,No,online shopping,2% online cashback,No,1% waiver,No,"?25,000/month",Welcome gifts,"Spend ?2,00,000/year",https://www.kotak.com,Good for heavy online users
Kotak,Kotak IndiGo 6E Rewards,700,700,No,travel,6E Rewards,No,1% waiver,No,"?20,000/month",IndiGo coupons,"Spend ?50,000/year",https://www.kotak.com,Best for IndiGo passengers
Kotak,Kotak IndiGo Ka-ching Credit Card,2500,2500,No,premium travel,Premium 6E Rewards,Yes,1% waiver,Domestic lounge,"?50,000/month",IndiGo vouchers,"Spend ?3,00,000/year",https://www.kotak.com,Premium IndiGo card
Kotak,Kotak PVR Platinum,500,500,No,movie lovers,2 free PVR tickets/month,No,1% waiver,No,"?20,000/month",Movie vouchers,"Spend ?50,000/year",https://www.kotak.com,For movie enthusiasts
Kotak,Kotak PVR Gold,1499,1499,No,movie lovers,2 free PVR Gold Class tickets/month,No,1% waiver,No,"?40,000/month",Movie vouchers,"Spend ?2,00,000/year",https://www.kotak.com,Premium movie benefits
Kotak,Kotak Fortune Gold (Secured),0,0,Yes,secured users,1% cashback,No,1% waiver,No,Fixed deposit required,-,Lifetime Free,https://www.kotak.com,Best secured builder card
Kotak,Kotak NRI Royale Signature,2500,2500,No,NRI lifestyle,Rewards points,Yes,1% waiver,Travel benefits for NRI,NRI account req,Welcome vouchers,Annual spend waiver,https://www.kotak.com,NRI-focused premium card
HSBC,HSBC Cashback Credit Card,999,999,No,cashback,10% on first transactions / 1.5% online,No,1% fuel surcharge waiver,No,"?20,000/month",Amazon vouchers,"Spend ?2,00,000/year",https://www.hsbc.co.in/credit-cards/products/cashback/,Most popular HSBC card for online cashback
HSBC,HSBC Visa Platinum Card,0,0,Yes,everyday spending,1% cashback equivalent,No,1% surcharge waiver,No,"?15,000/month",Welcome rewards,Lifetime Free,https://www.hsbc.co.in/credit-cards/products/visa-platinum/,Best HSBC lifetime free card
HSBC,HSBC Premier Credit Card,5000,5000,No,premium lifestyle,2% rewards,Yes,1% waiver,International lounge,HSBC Premier account required,Welcome offers,Waiver based on Premier criteria,https://www.hsbc.co.in/credit-cards/products/premier/,HSBC premium global card
HSBC,HSBC Smart Value Credit Card,499,499,No,everyday usage,1% cashback,No,1% fuel surcharge waiver,No,"?20,000/month",Welcome cashback,"Spend ?50,000/year",https://www.hsbc.co.in,Good for beginners and daily spending
HSBC,HSBC Metal Signature Card,12000,12000,No,luxury travel,Premium rewards,Yes (Domestic & International),1% waiver,International lounge,High-income customers,Premium welcome kit,High spend waiver,https://www.hsbc.co.in,HSBC super-premium card
Standard Chartered,SCB Super Value Titanium,750,750,No,fuel,5% cashback on fuel,No,1% surcharge waiver,No,"?20,000/month",Fuel cashback,"Spend ?60,000/year",https://www.sc.com/in/credit-cards/super-value-titanium/,Best SCB card for fuel savings
Standard Chartered,SCB Platinum Rewards Card,250,250,No,shopping,5X reward points on dining/grocery,No,1% waiver,No,"?15,000/month",Reward points,"Spend ?30,000/year",https://www.sc.com/in/credit-cards/platinum-rewards/,Great for dining & grocery
Standard Chartered,SCB DigiSmart Credit Card,49,49,No,online shopping,Up to 20% on Zomato/Swiggy/BigBasket,No,1% waiver,No,"?10,000/month",Partner offers,Monthly fee waived on spends > ?5000,https://www.sc.com/in/credit-cards/digismart/,Best for digital/online users
Standard Chartered,SCB Ultimate Credit Card,5000,5000,No,luxury lifestyle,3% rewards,Yes,1% waiver,Domestic & International,"?1,00,000/month",Luxury vouchers,"Spend ?10,00,000/year",https://www.sc.com/in/credit-cards/ultimate-credit-card/,Premium card with high rewards
Standard Chartered,SCB Manhattan Platinum Card,999,999,No,groceries,5% cashback on supermarket spends,No,1% waiver,No,"?25,000/month",Welcome gifts,"Spend ?1,20,000/year",https://www.sc.com/in/credit-cards/manhattan/,Great for grocery shoppers
Standard Chartered,SCB Emirates World Credit Card,3000,3000,No,air travel,Skywards miles,Yes,1% waiver,International lounge,"?70,000/month",Skywards miles,Spend-based waiver,https://www.sc.com/in/credit-cards/emirates-world/,For Emirates Airlines travelers
YES Bank,YES Prosperity Rewards Plus,350,350,No,shopping,2% rewards on groceries & dining,No,1% surcharge waiver,No,"?20,000/month",Welcome reward points,"Spend ?25,000/quarter",https://www.yesbank.in,Good for daily shopping
YES Bank,YES Prosperity Edge,800,800,No,shopping/travel,3% rewards on travel/dining,Yes,1% surcharge waiver,Domestic lounge,"?30,000/month",Welcome points,"Spend ?50,000/quarter",https://www.yesbank.in,Better than Prosperity Rewards
YES Bank,YES First Preferred,2500,2500,No,premium lifestyle,4% rewards,Yes,1% fuel waiver,Domestic lounge,"?60,000/month",Welcome gifts,"Spend ?2,50,000/year",https://www.yesbank.in,Good mid-premium card
YES Bank,YES First Exclusive,9999,9999,No,luxury premium,5% rewards,Yes,1% fuel waiver,International lounge,"?1,00,000/month",Premium welcome kit,High spend waiver,https://www.yesbank.in,Super-premium YES Bank card
YES Bank,YES Premia Credit Card,2000,2000,No,travel,3% travel rewards,Yes,1% waiver,Domestic lounge,"?50,000/month",Welcome gift,"Spend ?3,00,000/year",https://www.yesbank.in,Good for travel & rewards
YES Bank,YES Prosperity Cashback Plus,1499,1499,No,cashback,5% online cashback,No,1% waiver,No,"?25,000/month",Cashback rewards,"Spend ?3,00,000/year",https://www.yesbank.in,Best cashback card from YES Bank
YES Bank,YES Prosperity Rewards,299,299,No,everyday spends,1% cashback,No,1% waiver,No,"?15,000/month",Welcome points,"Spend ?10,000/3 months",https://www.yesbank.in,Entry-level YES card
YES Bank,YES Bank Wellness Credit Card,999,999,No,health & fitness,Health reward points,No,1% waiver,No,"?25,000/month",Health checkup vouchers,"Spend ?1,00,000/year",https://www.yesbank.in,Health & wellness focused
IndusInd,IndusInd Platinum Aura Edge,500,500,No,shopping,2% rewards on online spends,No,1% fuel surcharge waiver,No,"?20,000/month",Welcome rewards,"Spend ?50,000/year",https://www.indusind.com,Beginner-friendly lifestyle card
IndusInd,IndusInd Platinum Credit Card,0,0,Yes,everyday usage,1% cashback,No,1% fuel surcharge waiver,No,"?15,000/month",-,Lifetime Free,https://www.indusind.com,Good LTF starter card
IndusInd,IndusInd Celesta Credit Card,50000,50000,No,ultra-premium lifestyle,Premium rewards,Unlimited,1% fuel waiver,International lounge,High-income customers,Luxury gift box,Invitation / high spend,https://www.indusind.com,Ultra-premium elite card
IndusInd,IndusInd Pinnacle Credit Card,12000,12000,No,premium travel,2.5% travel cashback,Yes,1% waiver,Domestic & International,"?1,00,000/month",Premium welcome offers,"Spend ?10,00,000/year",https://www.indusind.com,Top-tier travel card
IndusInd,IndusInd Legend Credit Card,3000,3000,No,shopping & movies,2% cashback,Yes,1% waiver,Domestic lounge,"?50,000/month",Welcome vouchers,"Spend ?3,00,000/year",https://www.indusind.com,Premium lifestyle card
IndusInd,IndusInd EazyDiner Credit Card,1999,1999,No,dining,25% off dining,No,1% waiver,No,"?20,000/month",EazyDiner benefits,"Spend ?1,50,000/year",https://www.indusind.com,Best for restaurants & foodies
IndusInd,IndusInd Duo Plus Credit Card,1499,1499,No,shopping & cashback,2% cashback,No,1% waiver,No,"?25,000/month",Shopping vouchers,"Spend ?1,00,000/year",https://www.indusind.com,Simple cashback card
IndusInd,IndusInd Payback Credit Card,500,500,No,payback rewards,PAYBACK points,No,1% waiver,No,"?20,000/month",Welcome points,"Spend ?50,000/year",https://www.indusind.com,Good for Payback ecosystem
IndusInd,IndusInd Nexxt Credit Card,2500,2500,No,shopping EMI,1.5% cashback,No,1% waiver,No,"?40,000/month",Welcome gifts,"Spend ?2,00,000/year",https://www.indusind.com,EMI-based card with rewards
IndusInd,IndusInd Aura Edge Special,1000,1000,No,lifestyle,2% rewards,No,1% waiver,No,"?25,000/month",Gift vouchers,"Spend ?75,000/year",https://www.indusind.com,Enhanced Aura variant
RBL,RBL Zomato Edition Classic,0,0,Yes,food delivery,2% Zomato cashback,No,1% fuel surcharge waiver,No,"?15,000/month",Zomato credits,Lifetime Free,https://www.rblbank.com,Beginner-friendly Zomato card
RBL,RBL Zomato Edition Black,2000,2000,No,food delivery,10% Zomato cashback,Yes,1% waiver,No,"?35,000/month",Zomato Pro & dining offers,"Spend ?2,50,000/year",https://www.rblbank.com,Premium Zomato card
RBL,RBL Bajaj Finserv Co-branded,999,999,No,shopping/EMI,Cashback on EMI purchases,No,1% waiver,No,"?20,000/month",EMI vouchers,"Spend ?1,00,000/year",https://www.rblbank.com,Best for EMI & Bajaj users
RBL,RBL Shoprite Credit Card,500,500,No,groceries,5% grocery cashback,No,1% waiver,No,"?15,000/month",Shopping vouchers,"Spend ?50,000/year",https://www.rblbank.com,Great for grocery shopping
RBL,RBL Platinum Maxima,2000,2000,No,lifestyle,2.5% rewards,Yes,1% waiver,Domestic lounge,"?50,000/month",Welcome points,"Spend ?2,00,000/year",https://www.rblbank.com,Good mid-range lifestyle card
RBL,RBL Titanium Delight,750,750,No,movies & dining,10% off movies and dining,No,1% waiver,No,"?20,000/month",Movie vouchers,"Spend ?1,00,000/year",https://www.rblbank.com,Best for movie lovers
RBL,RBL Movies & More Card,500,500,No,entertainment,Buy 1 Get 1 movies,No,1% waiver,No,"?20,000/month",Movie coupons,"Spend ?75,000/year",https://www.rblbank.com,Dedicated entertainment card
RBL,RBL Insignia Preferred,3000,3000,No,premium lifestyle,3% rewards,Yes,1% waiver,Domestic lounge,"?75,000/month",Premium welcome kit,"Spend ?4,00,000/year",https://www.rblbank.com,Premium RBL lifestyle card
RBL,RBL Bank Icon Credit Card,5000,5000,No,luxury lifestyle,Premium rewards,Yes,1% waiver,International lounge,High-income,Luxury welcome gifts,"Spend ?7,00,000/year",https://www.rblbank.com,RBL high-end elite card
RBL,RBL Bank Popcorn Card,500,500,No,movies,Movie cashback,No,1% waiver,No,"?15,000/month",Movie combos,"Spend ?50,000/year",https://www.rblbank.com,Fun entertainment card
Bank of Baroda,BOB Easy Credit Card,500,500,No,shopping,1% cashback on all online spends,No,1% fuel surcharge waiver,No,"?15,000/month",Welcome reward points,"Spend ?50,000/year",https://www.bobfinancial.com/easy-credit-card.jsp,Best beginner BOB card
Bank of Baroda,BOB Premier Credit Card,1000,1000,No,lifestyle,2% rewards,Yes,1% surcharge waiver,Domestic lounge,"?30,000/month",Welcome vouchers,"Spend ?2,00,000/year",https://www.bobfinancial.com/premier-credit-card.jsp,Good premium rewards card
Bank of Baroda,BOB Select Credit Card,750,750,No,shopping & dining,2% rewards on dining & online,No,1% waiver,No,"?25,000/month",Welcome points,"Spend ?1,00,000/year",https://www.bobfinancial.com/select-credit-card.jsp,Mid-range shopping card
Bank of Baroda,IRCTC BoB RuPay Credit Card,500,350,No,rail travel,Up to 4% IRCTC cashback,No,1% waiver,Railway lounge,"?15,000/month",Rail vouchers,"Spend ?50,000/year",https://www.bobfinancial.com/irctc-credit-card.jsp,Good for IRCTC users
